GeneA	GeneA#	GeneB	GeneB#	GeneAB	GeneAB#	p-value
b1-adrenoceptor	80	b1-adrenoceptor antagonists, and 2	1	b1-adrenoceptor_b1-adrenoceptor antagonists, and 2	0	1.0
cholecystokinin octapeptide	4	vasoactive intestinal polypeptide	512	cholecystokinin octapeptide_vasoactive intestinal polypeptide	1	1.0
Fibin	8	Nfkbia	22	Fibin_Nfkbia	1	1.0
Aurora-A kinase	96	PP6C	27	Aurora-A kinase_PP6C	1	1.0
5-HT1A	3069	GABRB2	69	5-HT1A_GABRB2	1	1.0
CD1a	1707	terminal deoxymucleotide transferase	1	CD1a_terminal deoxymucleotide transferase	0	1.0
Cyclin D1	2191	Ta-T1	22	Cyclin D1_Ta-T1	1	1.0
IIa	98	PGC-1alpha	535	IIa_PGC-1alpha	1	1.0
ENA-78	157	RelA	2023	ENA-78_RelA	1	1.0
gp130	1721	tumor necrosis factor receptor 2	73	gp130_tumor necrosis factor receptor 2	1	1.0
DSS1	115	TP1	254	DSS1_TP1	1	1.0
AHR	3068	FOXM1	2078	AHR_FOXM1	1	1.0
basic fibroblast growth factor	1751	insulin-like growth factor (IGF)-1	171	basic fibroblast growth factor_insulin-like growth factor (IGF)-1	1	1.0
IL-5	5969	Itk	374	IL-5_Itk	3	0.999755861117
CHD5	382	DNA methyltransferase	269	CHD5_DNA methyltransferase	1	1.0
B7-H1 and B7-H4	48	B7-H4 and B7-H1	4	B7-H1 and B7-H4_B7-H4 and B7-H1	1	1.0
IL-1	10457	LOX-1	2192	IL-1_LOX-1	1	1.0
RAR-beta	95	RXR-alpha	22	RAR-beta_RXR-alpha	3	0.988874038219
O-GlcNAc	1363	PTMs	270	O-GlcNAc_PTMs	2	1.0
PLI	123	Prodynorphin-like immunoreactivity	1	PLI_Prodynorphin-like immunoreactivity	0	1.0
MMP2	3790	matrix metalloproteinase (MMP)-2	582	MMP2_matrix metalloproteinase (MMP)-2	11	0.768117181367
PI3K	27411	SAP+Wortmannin	3	PI3K_SAP+Wortmannin	1	1.0
Isc1p	22	lag1	22	Isc1p_lag1	1	1.0
NF90	295	PGC-1	297	NF90_PGC-1	1	1.0
Cl2	604	bpy-2	5	Cl2_bpy-2	1	1.0
N-Ras	315	RTK	740	N-Ras_RTK	1	1.0
APE1	2226	Hus1	92	APE1_Hus1	2	1.0
Ssc-miR-191	1	miR-93	659	Ssc-miR-191_miR-93	0	1.0
CDKN1A	1065	CDKN2B	494	CDKN1A_CDKN2B	20	0.00056129446351
Tumor suppressor candidate 5	2	insulin	78952	Tumor suppressor candidate 5_insulin	1	1.0
VEGFR2	5361	cMet	142	VEGFR2_cMet	1	1.0
SEL1L	173	interleukin-6	13580	SEL1L_interleukin-6	1	1.0
CD15	1075	Glut1	515	CD15_Glut1	1	1.0
ABCA2	90	Notch1	6029	ABCA2_Notch1	1	1.0
Mus81	325	Rad18	266	Mus81_Rad18	1	1.0
miR-135a	45	miR-22	1027	miR-135a_miR-22	1	1.0
Brain-derived neurotrophic factor	1228	Zn-T1	1	Brain-derived neurotrophic factor_Zn-T1	0	1.0
Nanog	3606	eIF2a	2731	Nanog_eIF2a	1	1.0
phosphoinositide-3'-kinase	2	sod-3	67	phosphoinositide-3'-kinase_sod-3	1	1.0
SPARC	3092	bcl2	289	SPARC_bcl2	1	1.0
MYCC	45	p21	16739	MYCC_p21	1	1.0
Ifn-b	8	insulin receptor substrate-1	320	Ifn-b_insulin receptor substrate-1	1	1.0
PPARa	6339	TNFRSF1B	164	PPARa_TNFRSF1B	1	1.0
Transforming growth factor b1	135	smad2	107	Transforming growth factor b1_smad2	1	1.0
P2Y(13)	70	hypoxanthine phosphoribosyl transferase	26	P2Y(13)_hypoxanthine phosphoribosyl transferase	1	1.0
cytokeratin 7	480	heat shock factor protein 1	6	cytokeratin 7_heat shock factor protein 1	1	1.0
CCND1	2397	GILZ	702	CCND1_GILZ	1	1.0
PAC1-R	47	PACAP	3896	PAC1-R_PACAP	12	nan
IRF-3	705	TIR domain-containing adaptor-inducing IFN-b	4	IRF-3_TIR domain-containing adaptor-inducing IFN-b	1	1.0
IL-15Ra	445	Il15ra	7	IL-15Ra_Il15ra	2	1.0
epidermal growth factor receptor	12992	urokinase plasminogen receptor	2	epidermal growth factor receptor_urokinase plasminogen receptor	1	1.0
Hes1	1472	Par1b	32	Hes1_Par1b	1	1.0
COX-2	27843	cytochrome P450 CYP1A1	7	COX-2_cytochrome P450 CYP1A1	1	1.0
Era	1336	alpha-fetoprotein	4354	Era_alpha-fetoprotein	1	1.0
CSE1L	262	hCAS	10	CSE1L_hCAS	1	1.0
Smad2	2495	alpha-fetoprotein	4354	Smad2_alpha-fetoprotein	1	1.0
IL4	1441	Interleukin(IL)1b	1	IL4_Interleukin(IL)1b	0	1.0
MD1	90	MXD1	50	MD1_MXD1	1	1.0
MKP-1	1403	claudin-1, -7, or -8	1	MKP-1_claudin-1, -7, or -8	0	1.0
BCL-XL	430	SRC	1160	BCL-XL_SRC	2	1.0
POTEF	6	PRDM2	74	POTEF_PRDM2	1	1.0
Grb7	239	TTYH1	8	Grb7_TTYH1	1	1.0
AXIN1	136	TP53	12522	AXIN1_TP53	16	nan
CXCL10	4639	SWAP-70	130	CXCL10_SWAP-70	1	1.0
Gpr109a	19	RelB	1051	Gpr109a_RelB	1	1.0
DOK1, 2, and 3	1	DOK3	58	DOK1, 2, and 3_DOK3	0	1.0
CD8a	1169	MyD88	6932	CD8a_MyD88	10	nan
cyclophilin A	257	prion protein	2891	cyclophilin A_prion protein	1	1.0
ERK1/2	22605	miR-15A	4	ERK1/2_miR-15A	1	1.0
CD34	23899	mast cell tryptase	88	CD34_mast cell tryptase	4	0.999999807564
IkBA	3	NFkB2	79	IkBA_NFkB2	1	1.0
CaMK	53	Protein Kinase C	57	CaMK_Protein Kinase C	1	1.0
GLP-2	1279	secretin	825	GLP-2_secretin	1	1.0
Galn	7	HMGB1	14867	Galn_HMGB1	1	1.0
Oct4	4497	bFgf	1	Oct4_bFgf	0	1.0
Annexin V	3338	NKP46	7	Annexin V_NKP46	1	1.0
CD34	23899	osteopontin	3749	CD34_osteopontin	18	0.447061611713
IL-10	41564	TBX21	215	IL-10_TBX21	2	1.0
Sema)3A	1	Sema3A	1002	Sema)3A_Sema3A	0	1.0
PKC	3008	SF-1	930	PKC_SF-1	1	1.0
p62	4947	p75	2595	p62_p75	2	1.0
OTUB1	207	USP3	41	OTUB1_USP3	1	1.0
AV1	9	AV2	12	AV1_AV2	3	nan
DKK1	1767	ROMO1	18	DKK1_ROMO1	1	1.0
1,25-dihydroxyvitamin D3 24-hydroxylase	1	vitamin D receptor	3153	1,25-dihydroxyvitamin D3 24-hydroxylase_vitamin D receptor	0	1.0
CD33	1618	absent in melanoma 2	77	CD33_absent in melanoma 2	1	1.0
IGF-2	815	extracellular signal-regulated kinase	2395	IGF-2_extracellular signal-regulated kinase	1	1.0
IGFBP5	335	IL-10	41564	IGFBP5_IL-10	1	1.0
IFN-a	6942	MHC class I chain-related antigen A	2	IFN-a_MHC class I chain-related antigen A	1	1.0
Erb B2	2	neuregulin-1	262	Erb B2_neuregulin-1	1	1.0
B-RAF	527	C-RAF:B-RAF	1	B-RAF_C-RAF:B-RAF	0	1.0
GSTM1	5126	NRAMP1	181	GSTM1_NRAMP1	1	1.0
p40(phox) and Rac	2	phox	370	p40(phox) and Rac_phox	1	1.0
Glod4	4	Sod1	520	Glod4_Sod1	0	1.0
FZY	2	RBOH1	22	FZY_RBOH1	1	1.0
RelB	1051	lymphotoxin beta receptor	25	RelB_lymphotoxin beta receptor	2	1.0
MMP-1	4459	matrix metalloproteinase-1 and tissue inhibitor of metalloproteinase-1	1	MMP-1_matrix metalloproteinase-1 and tissue inhibitor of metalloproteinase-1	0	1.0
PHPT1	51	PSMB8	125	PHPT1_PSMB8	1	1.0
CDKN2B	494	p27KIP1	111	CDKN2B_p27KIP1	1	1.0
LC3B	1127	prion protein	2891	LC3B_prion protein	2	1.0
TGF  -b	112	basic fibroblast growth factor (bFGF) and transforming growth factor (TGF)-b	1	TGF  -b_basic fibroblast growth factor (bFGF) and transforming growth factor (TGF)-b	0	1.0
IQSEC2	70	PURA	37	IQSEC2_PURA	1	1.0
Corticosteroid-binding globulin	39	sex hormone-binding globulin	757	Corticosteroid-binding globulin_sex hormone-binding globulin	2	1.0
IFN-a	6942	KIR2DL3	258	IFN-a_KIR2DL3	1	1.0
PHOX	22	myeloperoxidase	7714	PHOX_myeloperoxidase	1	1.0
TAK1	2585	interleukin-1	1402	TAK1_interleukin-1	1	1.0
Fet4	1	atg1	20	Fet4_atg1	0	1.0
IHPK2	5	VHL	4778	IHPK2_VHL	1	1.0
dfrA1	96	dfrA14	14	dfrA1_dfrA14	3	0.997452407615
ERK-1/2	349	GFAP	9912	ERK-1/2_GFAP	1	1.0
enkephalinase	225	met-enkephalin	273	enkephalinase_met-enkephalin	2	1.0
Bad	1911	Caspase-3 and -9	18	Bad_Caspase-3 and -9	1	1.0
EGF receptor	1669	IC2	139	EGF receptor_IC2	1	1.0
E2	143	E2(Ubc9)	2	E2_E2(Ubc9)	1	1.0
Lacritin	30	NFL	596	Lacritin_NFL	1	1.0
Cyp19a1	136	steroidogenic factor-1	41	Cyp19a1_steroidogenic factor-1	1	1.0
Microsomal prostaglandin E synthase-1	40	inducible nitric oxide synthase	3177	Microsomal prostaglandin E synthase-1_inducible nitric oxide synthase	1	1.0
AMACR	836	TRPM8	2075	AMACR_TRPM8	2	1.0
interleukin (IL)-2	374	small ubiquitin-like modifier 4	9	interleukin (IL)-2_small ubiquitin-like modifier 4	1	1.0
Adv-IKK2	1	interleukin (Il)-2	1	Adv-IKK2_interleukin (Il)-2	1	1.0
B7H1	70	TGF-b1	25265	B7H1_TGF-b1	1	1.0
ABL	1037	p185(BCR/ABL)- and p210(BCR/ABL	1	ABL_p185(BCR/ABL)- and p210(BCR/ABL	0	1.0
MYH7	533	cTNT	98	MYH7_cTNT	1	1.0
Camk2d	19	Crim1	83	Camk2d_Crim1	1	1.0
Col10a1	188	MIA	172	Col10a1_MIA	1	1.0
CXCR7	2350	PLCG2	57	CXCR7_PLCG2	1	1.0
Rap	337	miR-215	277	Rap_miR-215	1	1.0
IP10	227	interferon-gamma-inducible protein 10	6	IP10_interferon-gamma-inducible protein 10	1	1.0
MAPK1	447	MMP-9	26323	MAPK1_MMP-9	2	1.0
Arf6	823	Rab22	28	Arf6_Rab22	1	1.0
SDF1	663	SDF1-GPVI	1	SDF1_SDF1-GPVI	0	1.0
CA9	626	Carbonic Anhydrase IX	34	CA9_Carbonic Anhydrase IX	1	1.0
NADPH oxidase 2	215	glutamic acid decarboxylase 67	33	NADPH oxidase 2_glutamic acid decarboxylase 67	1	1.0
APC	923	budding uninhibited by benzimidazole 1	1	APC_budding uninhibited by benzimidazole 1	0	1.0
HSP47	420	SP-A	2046	HSP47_SP-A	2	1.0
GS-E	8	Ral	258	GS-E_Ral	1	1.0
ERK	24908	sphingosine kinase type 1	2	ERK_sphingosine kinase type 1	1	1.0
CD5	3107	CD64	1263	CD5_CD64	6	0.530829728826
NT-3	1013	Olig2	865	NT-3_Olig2	1	1.0
CD30L	109	tumor necrosis factor a	1991	CD30L_tumor necrosis factor a	1	1.0
TNF-a	77800	gamma interferon (IFNy)	4	TNF-a_gamma interferon (IFNy)	1	1.0
protease-activated receptor (PAR) 2	3	tumor necrosis factor	8475	protease-activated receptor (PAR) 2_tumor necrosis factor	1	1.0
Ang II	8268	proline-rich tyrosine kinase 2	72	Ang II_proline-rich tyrosine kinase 2	1	1.0
SFRP2	464	secreted protein acidic and rich in cysteine	129	SFRP2_secreted protein acidic and rich in cysteine	1	1.0
ERK	24908	suppressor of cytokine signaling 6	6	ERK_suppressor of cytokine signaling 6	1	1.0
RAD51	2624	nucleostemin	182	RAD51_nucleostemin	3	0.999671430189
SIRT-1	209	Sirt-1	116	SIRT-1_Sirt-1	2	1.0
AFF4	89	POU2F1	56	AFF4_POU2F1	1	1.0
Akt	45774	miR-370	310	Akt_miR-370	1	1.0
CCK	8605	PSP	1196	CCK_PSP	1	1.0
Mtr4	77	Rrp6	198	Mtr4_Rrp6	3	nan
K9 and K27	2	TET1	684	K9 and K27_TET1	1	1.0
PLA2	2342	pigment epithelium-derived factor	393	PLA2_pigment epithelium-derived factor	1	1.0
Bcl-2	30460	FAM3B	44	Bcl-2_FAM3B	1	1.0
KIN-32	1	SCPL-1	2	KIN-32_SCPL-1	1	1.0
C/EBP-a	151	vascular cell adhesion molecules-1	3	C/EBP-a_vascular cell adhesion molecules-1	1	1.0
TNF  -a	372	cyclooxygenase-2	6260	TNF  -a_cyclooxygenase-2	2	1.0
Bad	1911	TNFRSF21	20	Bad_TNFRSF21	1	1.0
Bsep	213	interleukin-6	13580	Bsep_interleukin-6	1	1.0
CD5 molecule-like	1	TNF	30309	CD5 molecule-like_TNF	0	1.0
Fgfr4	47	Lrh-1	43	Fgfr4_Lrh-1	1	1.0
CD18	1478	L-selectin	979	CD18_L-selectin	11	0.00146529295819
ERBB2	2520	MIEN1	79	ERBB2_MIEN1	1	1.0
Il33	41	Th2	6275	Il33_Th2	1	1.0
Ran	703	RanGAP	43	Ran_RanGAP	3	0.99978596187
CaV1.2	485	Potassium channel-interacting protein 2	1	CaV1.2_Potassium channel-interacting protein 2	0	1.0
IL15	413	tumour necrosis factor (TNF) receptor II (sTNFRII) and complement factor H	1	IL15_tumour necrosis factor (TNF) receptor II (sTNFRII) and complement factor H	0	1.0
EIF4G1	148	HtrA2	561	EIF4G1_HtrA2	1	1.0
CD63	1216	Ste20	66	CD63_Ste20	1	1.0
GLUT-2	142	KGF	987	GLUT-2_KGF	1	1.0
PTH	22366	p21	16739	PTH_p21	3	0.580816690304
bone morphogenetic protein 1	30	relaxin family peptide receptor 1	16	bone morphogenetic protein 1_relaxin family peptide receptor 1	1	1.0
TSC2	1961	pS6	222	TSC2_pS6	1	1.0
F4/80	942	monocyte chemoattractant protein-1, transforming growth factor b1	1	F4/80_monocyte chemoattractant protein-1, transforming growth factor b1	0	1.0
DLL-1	27	KLK-4	5	DLL-1_KLK-4	0	1.0
5T4	144	CEA	14892	5T4_CEA	1	1.0
chromatin assembly factor-1	10	high	75	chromatin assembly factor-1_high	1	1.0
CaMKII	4066	TLR9	6390	CaMKII_TLR9	2	1.0
Fbp1	40	cck1	3	Fbp1_cck1	1	1.0
IL-4	22172	Plg-/-	1	IL-4_Plg-/-	0	1.0
HJURP	183	PRKCQ	44	HJURP_PRKCQ	1	1.0
BAG-2	12	TRAIL	14734	BAG-2_TRAIL	1	1.0
fatty acid binding protein 4	181	serum amyloid A3	22	fatty acid binding protein 4_serum amyloid A3	1	1.0
TBX5	431	beta-Catenin	105	TBX5_beta-Catenin	1	1.0
DNMT	995	endothelin-1	5062	DNMT_endothelin-1	1	1.0
PARP-1	4439	endonuclease G	110	PARP-1_endonuclease G	2	1.0
TC10	87	Trem2	49	TC10_Trem2	1	1.0
CD11b	7993	IL17	613	CD11b_IL17	1	1.0
Ets-1	909	TNF-a	77800	Ets-1_TNF-a	1	1.0
Hsp90	7978	heat-shock factor 1	23	Hsp90_heat-shock factor 1	2	1.0
BED-3	2	lin-39	32	BED-3_lin-39	1	1.0
FOXA2	537	miR-146a	3414	FOXA2_miR-146a	1	1.0
HPRT1	354	KLK5	260	HPRT1_KLK5	1	1.0
Abca1	189	Sgpl1	34	Abca1_Sgpl1	1	1.0
Braf	246	transforming growth factor-b	1373	Braf_transforming growth factor-b	1	1.0
Epo	2679	IL 3	169	Epo_IL 3	1	1.0
GPx3	225	Glutathione peroxidase 3	20	GPx3_Glutathione peroxidase 3	8	0.974634979221
Bax	20988	Growth arrest and DNA damage-inducible gene 153	1	Bax_Growth arrest and DNA damage-inducible gene 153	0	1.0
SerpinH1	4	stress-induced phosphoprotein 1	25	SerpinH1_stress-induced phosphoprotein 1	1	1.0
MMP-2	15387	PDGFB	435	MMP-2_PDGFB	1	1.0
RPL13	31	RPL32	58	RPL13_RPL32	1	1.0
IL1RAP	103	TRAF6	2658	IL1RAP_TRAF6	1	1.0
LAMP3	170	SOD2	2581	LAMP3_SOD2	0	1.0
CD8a	1169	stem cell factor	744	CD8a_stem cell factor	2	1.0
ZINC FINGER PROTEIN 6	1	zfp6	1	ZINC FINGER PROTEIN 6_zfp6	1	1.0
dectin-1	486	toll-like receptor-4	184	dectin-1_toll-like receptor-4	1	1.0
Areg	99	Lhr	106	Areg_Lhr	1	1.0
TBK1	1508	cytochrome C	829	TBK1_cytochrome C	1	1.0
PAX3	922	Shh	5094	PAX3_Shh	1	1.0
E2 and P4	118	gonadotropin-releasing hormone	2495	E2 and P4_gonadotropin-releasing hormone	2	1.0
Myl9	12	SRF	2056	Myl9_SRF	1	1.0
CaBP-9k	67	TRPV6	654	CaBP-9k_TRPV6	4	nan
TGF-beta	4595	vascular endothelial growth factor A and basic fibroblast growth factor	1	TGF-beta_vascular endothelial growth factor A and basic fibroblast growth factor	0	1.0
IGFR	133	estrogen receptor	5009	IGFR_estrogen receptor	2	1.0
Endophilin	5	eIF4E	2893	Endophilin_eIF4E	1	1.0
I kappa B kinase b	2	TXNIP	1385	I kappa B kinase b_TXNIP	1	1.0
GFAP	9912	NDUFS4	72	GFAP_NDUFS4	1	1.0
ERK	24908	caspases 3, 8 and 9	26	ERK_caspases 3, 8 and 9	0	1.0
Rnls	2	ZAC1	76	Rnls_ZAC1	1	1.0
CYP3A	2947	dipeptidyl peptidase-IV	224	CYP3A_dipeptidyl peptidase-IV	1	1.0
BCL2L14	7	TACR1	98	BCL2L14_TACR1	1	1.0
salivary alpha- amylase	1	salivary alpha-amylase	222	salivary alpha- amylase_salivary alpha-amylase	0	1.0
indoleamine 2,3-dioxygenase	442	transforming growth factor b1	723	indoleamine 2,3-dioxygenase_transforming growth factor b1	1	1.0
SAA	4266	Serum amyloid A protein	15	SAA_Serum amyloid A protein	11	0.999994291195
BCL-2	3251	CD97	386	BCL-2_CD97	1	1.0
MTOR	768	PPM1D	409	MTOR_PPM1D	1	1.0
hsa-mir-126	1	hsa-mir-17	4	hsa-mir-126_hsa-mir-17	0	1.0
GSK-3b	6335	PDK-1	149	GSK-3b_PDK-1	1	1.0
Androgen receptor	751	Tgfb2	102	Androgen receptor_Tgfb2	1	1.0
IP3R2	108	SERCA1,2,3	1	IP3R2_SERCA1,2,3	1	1.0
glutathione S-transferases Mu 1	1	mitogen-activated protein kinase kinase 4	33	glutathione S-transferases Mu 1_mitogen-activated protein kinase kinase 4	0	1.0
HIGD1B	5	p53	91998	HIGD1B_p53	1	1.0
FYN	212	PTCH2	41	FYN_PTCH2	1	1.0
Cdc2	571	Plk1	2121	Cdc2_Plk1	8	nan
IL-8	23689	p-eukaryotic initiation factor 2	1	IL-8_p-eukaryotic initiation factor 2	0	1.0
Hos2p	1	RPD3	34	Hos2p_RPD3	0	1.0
MYO1C	34	RUNX2	2512	MYO1C_RUNX2	1	1.0
Cyclin B1	393	p53	91998	Cyclin B1_p53	42	nan
CRP	35335	interleukin-1B	17	CRP_interleukin-1B	1	1.0
HLA-F	195	sHLA-F, chromogranin, and B7H3	1	HLA-F_sHLA-F, chromogranin, and B7H3	0	1.0
Akt	45774	p27kip1	267	Akt_p27kip1	11	0.999968721371
P54nrb	9	PSF	849	P54nrb_PSF	2	1.0
CD90	2398	KIR6.2	17	CD90_KIR6.2	1	1.0
PPARa	6339	alkaline phosphatase	2645	PPARa_alkaline phosphatase	1	1.0
HB2	60	Trpv1	145	HB2_Trpv1	1	1.0
GH	16536	p70	551	GH_p70	1	1.0
Col8a1	20	Timp1	126	Col8a1_Timp1	1	1.0
MCL1	724	Pin1	2455	MCL1_Pin1	1	1.0
HPGD	174	hydroxyprostaglandin dehydrogenase-15	1	HPGD_hydroxyprostaglandin dehydrogenase-15	0	1.0
CAIX	1363	MCT2	262	CAIX_MCT2	3	0.992963056598
ATR	3059	PCNA1	19	ATR_PCNA1	1	1.0
PRNP	1025	ZIP1	85	PRNP_ZIP1	1	1.0
Clock	602	TNF-a	77800	Clock_TNF-a	3	nan
AQP4	5760	Cx32	657	AQP4_Cx32	5	0.987624389439
CYTH-1	9	IGFR	133	CYTH-1_IGFR	1	1.0
ADAM10	2193	CD151	1007	ADAM10_CD151	1	1.0
AHCYL1	31	miR-1782	2	AHCYL1_miR-1782	0	1.0
TFP	128	TNF-a	77800	TFP_TNF-a	1	1.0
ACCb	32	leptin	21979	ACCb_leptin	1	1.0
Rac1	9261	isocitrate dehydrogenase 1	225	Rac1_isocitrate dehydrogenase 1	1	1.0
TP53	12522	miR-18	41	TP53_miR-18	1	1.0
CD45	7055	Prolylcarboxypeptidase	12	CD45_Prolylcarboxypeptidase	1	1.0
CD4	100721	IL17RC	32	CD4_IL17RC	1	1.0
GPR41	182	VIPR1	40	GPR41_VIPR1	1	1.0
Gis1p	6	Opi1p	31	Gis1p_Opi1p	1	1.0
PRL-R	126	Pg-R	1	PRL-R_Pg-R	0	1.0
c-KIT	1139	estrogen receptor	5009	c-KIT_estrogen receptor	2	1.0
MAP3K14	50	TWEAK	2021	MAP3K14_TWEAK	1	1.0
histone methyltransferase	40	matrix metalloproteinases 2/9	5	histone methyltransferase_matrix metalloproteinases 2/9	1	1.0
AT2 R	35	PKCb	555	AT2 R_PKCb	1	1.0
Akt	45774	SP-1	230	Akt_SP-1	3	0.999999874696
sterol regulatory element-binding  protein-2	1	sterol regulatory element-binding protein-2	30	sterol regulatory element-binding  protein-2_sterol regulatory element-binding protein-2	0	1.0
C6orf130	21	glycogen synthase kinase 3b	617	C6orf130_glycogen synthase kinase 3b	1	1.0
DJ-1	3189	E2F6	91	DJ-1_E2F6	1	1.0
integrin-binding sialoprotein	13	special AT-rich binding protein 2	7	integrin-binding sialoprotein_special AT-rich binding protein 2	1	1.0
CCR9	856	CX3CL1	1614	CCR9_CX3CL1	2	1.0
TNF-a	77800	interleukin-1	1402	TNF-a_interleukin-1	57	0.916385037566
apolipoprotein AV	5	liver X receptor a	50	apolipoprotein AV_liver X receptor a	1	1.0
Fibroblast growth factor 2	120	glial fibrillary acidic protein	1905	Fibroblast growth factor 2_glial fibrillary acidic protein	1	1.0
Apoe	994	Tnfrsf21	3	Apoe_Tnfrsf21	1	1.0
EHMT2	153	MPO	10717	EHMT2_MPO	1	1.0
SERPINE1	347	cyclin D3	490	SERPINE1_cyclin D3	1	1.0
CRF-R1	167	CRFR1	374	CRF-R1_CRFR1	1	1.0
beta}2-microglobulin	1	integrin beta6	2	beta}2-microglobulin_integrin beta6	1	1.0
IGF-I receptor	541	PTH	22366	IGF-I receptor_PTH	2	1.0
CLOCK	1132	WNK1	590	CLOCK_WNK1	1	1.0
ArgRS	28	Calpain 2	22	ArgRS_Calpain 2	1	1.0
OLF1	2	TTC3	31	OLF1_TTC3	1	1.0
HIF-1a	20918	VEGF-D	1111	HIF-1a_VEGF-D	3	0.999850558731
DAZAP1	42	SWI1	24	DAZAP1_SWI1	0	1.0
ULK3	20	eQTL	64	ULK3_eQTL	1	1.0
OGG1	1535	x-ray repair cross complementing group 1	2	OGG1_x-ray repair cross complementing group 1	0	1.0
Cyclin D2	130	secreted frizzled-related protein 1	56	Cyclin D2_secreted frizzled-related protein 1	1	1.0
FoxP3	4364	interleukin 2	2653	FoxP3_interleukin 2	3	0.775423204118
MNB	12	thrombin	19814	MNB_thrombin	1	1.0
Rheb	816	cyclin-dependent kinase 4	219	Rheb_cyclin-dependent kinase 4	1	1.0
TGF-b	26450	transforming growth factor beta 3	39	TGF-b_transforming growth factor beta 3	2	1.0
XYL2	53	hxt1	4	XYL2_hxt1	0	1.0
MicroRNA-93	15	b-catenin	22664	MicroRNA-93_b-catenin	1	1.0
TNF+IFN	4	TNFa	18783	TNF+IFN_TNFa	1	1.0
ROCK2	1014	S1P2, S1P3	1	ROCK2_S1P2, S1P3	0	1.0
SF2	452	specificity protein 1	236	SF2_specificity protein 1	1	1.0
NHE-3	44	Na(+)/H(+) exchanger (NHE)-1	4	NHE-3_Na(+)/H(+) exchanger (NHE)-1	3	0.999697976442
